1784828744.428138,5091293866.0
1784828744.928294,5091293866.0
1784828745.428449,5091515794.0
1784828745.928607,5091515794.0
1784828746.428771,5092031224.0
1784828746.928916,5092031224.0
1784828747.429066,5092548148.0
1784828747.929209,5092548148.0
1784828748.429367,5093065072.0
1784828748.929622,5093065072.0
1784828749.429789,5093581996.0
1784828749.929955,5093581996.0
1784828750.43011,5094098920.0
1784828750.93028,5094098920.0
1784828751.430432,5094614350.0
1784828751.930578,5094614350.0
1784828752.430731,5095131274.0
1784828752.930851,5095131274.0
1784828753.431006,5095646704.0
1784828753.931155,5095646704.0
1784828754.431295,5096163628.0
1784828754.93145,5096163628.0
1784828755.431568,5096680748.0
1784828755.93178,5096680748.0
1784828756.431935,5097197672.0
1784828756.932088,5097197672.0
1784828757.432241,5097714596.0
1784828757.932399,5097714596.0
1784828758.432543,5098231520.0
1784828758.932703,5098231520.0
1784828759.432847,5098746950.0
1784828759.933008,5098746950.0
1784828760.433161,5099263874.0
1784828760.933309,5099263874.0
1784828761.433465,5099780957.0
1784828761.933621,5099780957.0
1784828762.433787,5100297881.0
1784828762.933947,5100297881.0
1784828763.434105,5100902272.0
1784828763.934258,5100902272.0
1784828764.434409,5101613416.0
1784828764.934564,5101613416.0
1784828765.434661,5102326054.0
1784828765.934803,5102326054.0
1784828766.434955,5103038692.0
1784828766.935112,5103038692.0
1784828767.435266,5103751330.0
1784828767.93539,5103751330.0
1784828768.435577,5104460980.0
1784828768.935731,5104460980.0
1784828769.435852,5105173618.0
1784828769.936008,5105173618.0
1784828770.436166,5105886256.0
1784828770.936363,5105886256.0
1784828771.436522,5106597400.0
1784828771.936666,5106597400.0
1784828772.43683,5107308544.0
1784828772.936983,5107308544.0
1784828773.437143,5108021182.0
1784828773.937297,5108021182.0
1784828774.437407,5108732326.0
1784828774.937575,5108732326.0
1784828775.437729,5109444964.0
1784828775.937867,5109444964.0
1784828776.437984,5110157602.0
1784828776.938134,5110157602.0
1784828777.438281,5110868746.0
1784828777.938406,5110868746.0
1784828778.43857,5111579890.0
1784828778.938702,5111579890.0
1784828779.438858,5112292528.0
1784828779.938972,5112292528.0
1784828780.43912,5113003672.0
1784828780.939275,5113003672.0
1784828781.43943,5113714816.0
1784828781.939587,5113714816.0
1784828782.439741,5114519403.0
1784828782.939856,5114519403.0
1784828783.440023,5115424958.0
1784828783.940181,5115424958.0
1784828784.440341,5116331816.0
1784828784.940494,5116331816.0
1784828785.440647,5117238870.0
1784828785.940798,5117238870.0
1784828786.440955,5118147222.0
1784828786.941101,5118147222.0
1784828787.441255,5119054080.0
1784828787.941424,5119054080.0
1784828788.441551,5119960938.0
1784828788.941712,5119960938.0
1784828789.441853,5120958251.0
1784828789.942011,5120958251.0
1784828790.442168,5122057835.0
1784828790.942319,5122057835.0
1784828791.442465,5123160566.0
1784828791.942637,5123160566.0
1784828792.442775,5124264632.0
1784828792.94292,5124264632.0
1784828793.443075,5125453177.0
1784828793.943223,5125453177.0
1784828794.443366,5126567944.0
1784828794.943509,5126567944.0
1784828795.44366,5127559281.0
1784828795.943816,5127559281.0
1784828796.443968,5128661853.0
1784828796.944187,5128661853.0
1784828797.444344,5129848904.0
1784828797.944495,5129848904.0
1784828798.444653,5131145696.0
1784828798.944808,5131145696.0
1784828799.444962,5132443982.0
1784828799.945074,5132443982.0
1784828800.445203,5133740774.0
1784828800.945343,5133740774.0
1784828801.445497,5135040554.0
1784828801.945653,5135040554.0
1784828802.445816,5136337346.0
1784828802.945978,5136337346.0
1784828803.446134,5137632644.0
1784828803.946289,5137632644.0
1784828804.446445,5138932424.0
1784828804.9466,5138932424.0
1784828805.446768,5140229216.0
1784828805.946913,5140229216.0
1784828806.447058,5141526008.0
1784828806.947206,5141526008.0
1784828807.44736,5142738512.0
1784828807.947507,5142738512.0
1784828808.447661,5143841084.0
1784828808.947832,5143841084.0
1784828809.447992,5144940668.0
1784828809.948148,5144940668.0
1784828810.448286,5146044734.0
1784828810.948441,5146044734.0
1784828811.44859,5147055546.0
1784828811.948757,5147055546.0
1784828812.448912,5147963898.0
1784828812.949055,5147963898.0
1784828813.449217,5148870756.0
1784828813.949375,5148870756.0
1784828814.449533,5149776120.0
1784828814.949685,5149776120.0
1784828815.449849,5150684668.0
1784828815.949999,5150684668.0
1784828816.450162,5151591526.0
1784828816.95032,5151591526.0
1784828817.450456,5152499878.0
1784828817.950608,5152499878.0
1784828818.450771,5153491215.0
1784828818.950925,5153491215.0
1784828819.451067,5154593787.0
1784828819.951218,5154593787.0
1784828820.451364,5155697853.0
1784828820.951494,5155697853.0
1784828821.451656,5156800584.0
1784828821.951831,5156800584.0
1784828822.451989,5157901662.0
1784828822.952144,5157901662.0
1784828823.452303,5159004234.0
1784828823.952447,5159004234.0
1784828824.452598,5160106806.0
1784828824.952765,5160106806.0
1784828825.452911,5161209378.0
1784828825.953064,5161209378.0
1784828826.453199,5162311950.0
1784828826.953363,5162311950.0
1784828827.453517,5163416016.0
1784828827.953674,5163416016.0
1784828828.453832,5164517094.0
1784828828.953974,5164517094.0
1784828829.454089,5165618172.0
1784828829.954219,5165618172.0
1784828830.454355,5166722238.0
1784828830.954508,5166722238.0
1784828831.454643,5167733052.0
1784828831.954811,5167733052.0
1784828832.454946,5168639910.0
1784828832.955106,5168639910.0
1784828833.455226,5169548262.0
1784828833.955382,5169548262.0
1784828834.455537,5170456614.0
1784828834.95568,5170456614.0
