event,tier_s,order,volume_err_pct,peak_err_pct,nrmse_pct,event_f1,dur_err_pct,distrib_err_pct,threshold_mbits,raw_peak_mbits
burst_misaligned330_rep2,60,agg->deriv,6.28,15.24,20.54,0.53,0.00,10.81,8,10.40
burst_misaligned330_rep2,60,deriv->agg,0.00,28.75,13.64,0.00,100.00,8.88,8,10.40
burst_misaligned330_rep2,300,agg->deriv,30.84,50.73,33.54,0.00,100.00,45.22,8,10.40
burst_misaligned330_rep2,300,deriv->agg,0.00,48.25,17.33,0.00,100.00,14.86,8,10.40
burst_misaligned330_rep3,60,agg->deriv,5.97,15.32,20.71,0.51,3.45,10.45,8,10.40
burst_misaligned330_rep3,60,deriv->agg,0.00,29.41,13.75,0.00,100.00,9.33,8,10.40
burst_misaligned330_rep3,300,agg->deriv,30.40,50.75,33.49,0.00,100.00,45.00,8,10.40
burst_misaligned330_rep3,300,deriv->agg,0.00,48.25,17.38,0.00,100.00,15.29,8,10.40
