event,tier,lag_s,nrmse_pct,mae_pct,mean_ratio,max_ratio,std_ratio
fluct,0,4,6.107,3.964,1.0285,1.0328,0.9682
fluct,60,-30,14.017,11.493,1.0225,0.8154,0.6300
fluct,300,-36,15.758,12.770,1.0194,0.6484,0.3272
burst,0,4,3.039,1.424,1.0271,1.0328,1.0148
burst,60,0,3.072,1.659,1.0310,1.0270,1.0230
burst,300,60,15.132,8.432,1.0330,0.5340,0.3869
