event,tier,lag_s,nrmse_pct,mae_pct,mean_ratio,max_ratio,std_ratio
fluct,0,6,10.455,6.417,1.0300,1.0326,0.9672
fluct,60,-4,19.008,15.050,1.0336,0.6997,0.6788
fluct,300,-60,23.467,17.664,1.0254,0.5424,0.3264
burst,0,4,3.861,1.627,1.0266,1.0321,0.9974
burst,60,0,3.361,1.646,1.0314,1.0091,1.0010
burst,300,60,14.946,8.350,1.0330,0.5340,0.3913
