event,tier,lag_s,nrmse_pct,mae_pct,mean_ratio,max_ratio,std_ratio
fluct,0,4,8.711,4.929,1.0283,0.9796,0.9856
fluct,60,10,15.853,11.699,1.0300,0.7599,0.7519
fluct,300,-60,22.428,19.087,1.0191,0.5281,0.2098
burst,0,4,3.091,1.496,1.0283,1.0328,1.0091
burst,60,0,2.524,1.559,1.0310,1.0224,1.0141
burst,300,60,15.050,8.371,1.0343,0.5351,0.3875
