event,tier,lag_s,nrmse_pct,mae_pct,mean_ratio,max_ratio,std_ratio
burst,0,4,3.498,1.553,1.0263,1.0322,1.0086
burst,60,30,11.263,5.343,1.0324,0.7368,0.7083
burst,300,60,15.224,8.650,1.0343,0.6138,0.4102
